="description",="record_tracking_list_display_format_id",="age_group_desc",="RecordAgeGroupId",="record_tracking_list_event_id",="gender",="event_id",="distance",="stroke_code",="course_code",="RANK",="swim_time",="individual_time_id",="PersonId",="full_name_computed",="AthleteOrgUnitId",="lsc_id",="club_code",="meet_name",="MeetId",="country_code",="location",="location_country_code",="swim_date",="session_desc",="relay_lead_yn",="bios_display_swap_first_last_name_yn",="disable_name_swapping_yn"
="NCAA Division I Record Progressions",="6",="Open",="7",="1340",="F",="2",="100",="FR",="SCY",="2",="46.09",="179383512",="2232752",="Simone Manuel",="8528",="Pacifi",="STAN",="2015 NCAA DI - Women",="32606",="STAN",="",="",="3/21/2015",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1340",="F",="2",="100",="FR",="SCY",="3",="46.61",="179405552",="1241955",="Arianna Vanderpool-Wallace",="8288",="SEC (S",="AUB",="2012 SEC Champs",="14004",="AUB",="",="",="2/18/2012",="",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1340",="F",="2",="100",="FR",="SCY",="4",="46.81",="255029395",="1241955",="Arianna Vanderpool-Wallace",="8288",="SEC (S",="AUB",="2011 SEC Champs",="153890",="AUB",="",="",="2/16/2011",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1353",="M",="2",="100",="FR",="SCY",="1",="39.90",="175885946",="1063976",="Caeleb Dressel",="8619",="SEC (S",="FLOR",="2018 NCAA DI - Men",="36584",="FLOR",="",="",="3/24/2018",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1353",="M",="2",="100",="FR",="SCY",="2",="40.00",="206931975",="1063976",="Caeleb Dressel",="8619",="SEC (S",="FLOR",="2017 NCAA DI - Men",="5268",="FLOR",="",="",="3/25/2017",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1353",="M",="2",="100",="FR",="SCY",="3",="40.46",="182922828",="1063976",="Caeleb Dressel",="8619",="SEC (S",="FLOR",="2016 NCAA DI - Men",="13430",="FLOR",="",="",="3/26/2016",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1353",="M",="2",="100",="FR",="SCY",="4",="40.76",="261128891",="3004800",="Vladimir Morozov",="8327",="Pacifi",="USC",="2013 NCAA DI - Men ",="39615",="USC",="",="",="3/28/2013",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1353",="M",="2",="100",="FR",="SCY",="5",="40.92",="220633576",="240037",="Cesar Cielo",="8288",="SEC (S",="AUB",="2008 NCAA DI - Men",="82515",="AUB",="",="",="3/27/2008",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1341",="F",="3",="200",="FR",="SCY",="1",="1:39.10",="273494233",="1825052",="Missy Franklin",="8084",="Pacifi",="CAL",="2015 NCAA DI - Women",="32606",="CAL",="",="",="3/20/2015",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1341",="F",="3",="200",="FR",="SCY",="2",="1:40.31",="216224779",="1825052",="Missy Franklin",="8084",="Pacifi",="CAL",="2014 NCAA DI - Women",="10753",="CAL",="",="",="3/20/2014",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1341",="F",="3",="200",="FR",="SCY",="3",="1:41.21",="226460411",="1805558",="Megan Romano",="8388",="SEC (S",="UGA",="2012 NCAA DI - Women",="136842",="UGA",="",="",="3/16/2012",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1341",="F",="3",="200",="FR",="SCY",="4",="1:41.53",="205102916",="228113",="Dana Vollmer",="8084",="Pacifi",="CAL",="2009 PAC 10 Champs women",="1",="CAL",="",="",="2/25/2009",="",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1354",="M",="3",="200",="FR",="SCY",="1",="1:29.15",="228806604",="1550522",="Dean Farris",="8553",="Ivy Le",="HARV",="2019 NCAA DI - Men",="109353",="HARV",="",="",="3/27/2019",="",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1354",="M",="3",="200",="FR",="SCY",="2",="1:29.50",="285758662",="1423815",="Townley Haas",="8157",="Big 12",="TEX",="2018 NCAA DI - Men",="36584",="TEX",="",="",="3/23/2018",="Final",="Y",="Y",="Y"
="NCAA Division I Record Progressions",="6",="Open",="7",="1354",="M",="3",="200",="FR",="SCY",="3",="1:29.63",="278438892",="1037078",="Blake Pieroni",="8490",="Big Te",="IU",="2018 NCAA DI - Men",="36584",="IU",="",="",="3/21/2018",="",="Y",="Y",="Y"
